Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Normal Case,,,,13-02-2024 16:53:48,13-02-2024 16:54:32,43.756s,FAILED
,,,,,,,
Test Cases/Add to Cart,,,,13-02-2024 16:53:51,13-02-2024 16:53:51,0.152s,FAILED
"tap(findTestObject(""Object Repository/Login sampe checkout/android.widget.TextView - LAPTOPS""), 0)",,,,13-02-2024 16:53:51,13-02-2024 16:53:51,0.071s,PASSED
,,,,,,,
Test Cases/Checkout,,,,13-02-2024 16:53:51,13-02-2024 16:53:51,0.093s,FAILED
"tap(findTestObject(""Object Repository/Login sampe checkout/android.widget.ImageView (5)""), 0)",,,,13-02-2024 16:53:51,13-02-2024 16:53:51,0.061s,PASSED
,,,,,,,
Test Cases/Login,,,,13-02-2024 16:53:51,13-02-2024 16:54:32,40.635s,PASSED
"startApplication(""C:\Users\masep\git\Report Final Mobile Asep Mahmudin\Advantage+demo+3.2.apk"", true)",,,,13-02-2024 16:53:52,13-02-2024 16:54:21,28.977s,PASSED
"tap(findTestObject(""Object Repository/Login sampe checkout/android.widget.ImageView""), 0)",,,,13-02-2024 16:54:21,13-02-2024 16:54:23,2.665s,PASSED
"tap(findTestObject(""Object Repository/Login sampe checkout/android.widget.TextView - LOGIN""), 0)",,,,13-02-2024 16:54:23,13-02-2024 16:54:25,1.700s,PASSED
"setText(findTestObject(""Object Repository/Login sampe checkout/android.widget.EditText""), ""asepmahmudin"", 0)",,,,13-02-2024 16:54:25,13-02-2024 16:54:27,1.602s,PASSED
"setText(findTestObject(""Object Repository/Login sampe checkout/android.widget.EditText (1)""), ""@Pokemon90"", 0)",,,,13-02-2024 16:54:27,13-02-2024 16:54:29,2.227s,PASSED
"tap(findTestObject(""Object Repository/Login sampe checkout/android.widget.Button - LOGIN""), 0)",,,,13-02-2024 16:54:29,13-02-2024 16:54:30,1.089s,PASSED
"tap(findTestObject(""Object Repository/Login sampe checkout/android.widget.Button - NO""), 0)",,,,13-02-2024 16:54:30,13-02-2024 16:54:32,2.230s,PASSED
